City A,City B,Time by train,Distance by train,Time by car,Distance by car
Ankara,Istanbul,05:36,576,04:30,433
Istanbul,Ankara,05:36,576,04:51,434
Athens,Thessaloniki,05:23,502,05:27,502
Thessaloniki,Athens,05:10,502,05:52,501
Athens,Patras,04:40,220,02:21,211
Patras,Athens,04:40,220,02:27,211
Barcelona,Montpellier,01:55,160,03:42,344
Montpellier,Barcelona,01:55,160,03:48,344
Barcelona,Madrid,02:45,625,07:11,623
Madrid,Barcelona,02:30,625,06:25,626
Barcelona,Sevilla,05:40,550,09:49,994
Sevilla,Barcelona,05:40,550,10:16,993
Barcelona,Valencia,03:15,310,03:38,349
Valencia,Barcelona,03:15,310,03:47,348
Belfast,Dublin,03:00,270,01:48,167
Dublin,Belfast,03:00,270,01:46,166
Belgrade,Zagreb,05:30,357,04:04,398
Zagreb,Belgrade,05:30,357,04:11,396
Bari,Patras,16:30,970,13:11,653
Patras,Bari,16:30,970,13:35,651
Belgrade,Bucharest,09:25,620,08:23,595
Bucharest,Belgrade,09:25,620,08:07,599
Belgrade,Sofia,11:25,482,04:27,391
Sofia,Belgrade,11:25,482,04:32,393
Belgrade,Skopje,04:15,250,04:26,432
Skopje,Belgrade,04:15,250,04:38,432
Berlin,Amsterdam,03:19,650,07:28,656
Amsterdam,Berlin,03:19,650,07:17,657
Berlin,Cologne,02:58,507,06:39,574
Cologne,Berlin,02:58,507,06:28,574
Berlin,Munich,05:19,585,06:23,586
Munich,Berlin,05:17,585,06:36,585
Berlin,Prague,04:25,267,04:01,350
Prague,Berlin,04:25,267,03:58,350
Berlin,Poznan,02:59,274,03:12,272
Poznan,Berlin,02:59,274,03:00,273
Bern,Milan,03:35,260,04:32,353
Milan,Bern,03:35,260,04:22,350
Bern,Rome,07:20,580,10:28,851
Rome,Bern,07:20,580,11:00,936
Bern,Frankfurt,04:47,460,04:40,421
Frankfurt,Bern,04:47,460,04:57,420
Bern,Lyon,03:50,240,03:23,307
Lyon,Bern,03:50,240,03:26,307
Bialystok,Vilnius,04:24,322,04:23,303
Vilnius,Bialystok,04:24,322,04:09,302
Bologna,Milan,01:14,67,02:45,227
Milan,Bologna,01:14,67,02:42,219
Bologna,Florence,01:30,114,01:27,111
Florence,Bologna,01:30,114,01:31,112
Bordeaux,Lyon,02:41,459,05:24,554
Lyon,Bordeaux,02:41,459,05:24,554
Brussels,Frankfurt,04:18,457,04:45,515
Frankfurt,Brussels,04:18,457,04:45,515
Brussels,London,02:03,380,05:12,358
London,Brussels,02:03,380,05:12,358
Brussels,Cologne,01:45,190,02:25,212
Cologne,Brussels,01:45,190,02:25,212
Brussels,Amsterdam,02:25,214,02:54,208
Amsterdam,Brussels,02:25,214,02:54,208
Budapest,Krakau,06:15,470,04:42,410
Krakau,Budapest,06:15,470,04:42,410
Budapest,Vienna,02:56,248,02:35,240
Vienna,Budapest,02:56,248,02:35,240
Budapest,Bucharest,08:50,513,06:10,520
Bucharest,Budapest,08:50,513,06:10,520
Budapest,Ljubljana,10:06,490,04:45,463
Ljubljana,Budapest,10:06,490,04:45,463
Budapest,Zagreb,05:36,360,04:32,330
Zagreb,Budapest,05:36,360,04:32,330
Budapest,Belgrade,08:30,412,05:48,400
Belgrade,Budapest,08:30,412,05:48,400
Cologne,Amsterdam,03:20,220,02:54,208
Amsterdam,Cologne,03:20,220,02:54,208
Copenhagen,Stockholm,05:20,550,06:30,650
Stockholm,Copenhagen,05:20,550,06:30,650
Cork,Dublin,03:15,266,02:45,270
Dublin,Cork,03:15,266,02:45,270
Edinburgh,Birmingham,04:47,442,05:18,420
Birmingham,Edinburgh,04:47,442,05:18,420
Edinburgh,Aberdeen,03:50,262,02:54,250
Aberdeen,Edinburgh,03:50,262,02:54,250
Edinburgh,Glasgow,01:14,79,01:16,80
Glasgow,Edinburgh,01:14,79,01:16,80
Frankfurt,Cologne,01:25,165,01:48,190
Cologne,Frankfurt,01:25,165,01:48,190
Hamburg,Copenhagen,06:44,618,05:30,550
Copenhagen,Hamburg,06:44,618,05:30,550
Hamburg,Berlin,01:44,280,03:50,280
Berlin,Hamburg,01:44,280,03:50,280
Hamburg,Munich,05:52,631,06:03,786
Munich,Hamburg,05:52,631,06:03,786
Hamburg,Frankfurt,03:02,494,04:20,426
Frankfurt,Hamburg,03:02,494,04:20,426
Helsinki,Tallinn,03:50,328,05:10,419
Tallinn,Helsinki,03:50,328,05:10,419
Helsinki,Turku,03:20,187,02:45,169
Turku,Helsinki,03:20,187,02:45,169
Helsinki,Rovaniemi,09:58,610,11:18,875
Rovaniemi,Helsinki,09:58,610,11:18,875
Holyhead,Birmingham,04:18,344,04:23,344
Birmingham,Holyhead,04:18,344,04:23,344
Holyhead,Dublin,01:25,224,02:15,224
Dublin,Holyhead,01:25,224,02:15,224
Kiruna,Stockholm,14:37,1300,12:01,1402
Stockholm,Kiruna,14:37,1300,12:01,1402
Klaipeda,Vilnius,04:52,313,03:25,312
Vilnius,Klaipeda,04:52,313,03:25,312
Lisboa,Faro,04:10,275,02:30,212
Faro,Lisboa,04:10,275,02:30,212
Lisboa,Porto,02:50,310,03:00,310
Porto,Lisboa,02:50,310,03:00,310
Ljubljana,Zagreb,02:51,166,02:20,160
Zagreb,Ljubljana,02:51,166,02:20,160
London,Penzance,05:37,553,06:21,462
Penzance,London,05:37,553,06:21,462
London,Bristol,01:33,152,02:15,153
Bristol,London,01:33,152,02:15,153
London,Birmingham,01:24,193,02:11,169
Birmingham,London,01:24,193,02:11,169
Madrid,Valencia,02:35,309,03:30,350
Valencia,Madrid,02:35,309,03:30,350
Madrid,Málaga,02:40,504,05:15,450
Málaga,Madrid,02:40,504,05:15,450
Madrid,Sevilla,02:35,474,02:55,430
Sevilla,Madrid,02:35,474,02:55,430
Madrid,Santiago de Compostela,07:45,610,05:20,500
Santiago de Compostela,Madrid,07:45,610,05:20,500
Madrid,Santander,03:50,400,04:20,440
Santander,Madrid,03:50,400,04:20,440
Madrid,Pamplona,05:20,325,04:05,300
Pamplona,Madrid,05:20,325,04:05,300
Madrid,Bordeaux,07:45,673,07:10,670
Bordeaux,Madrid,07:45,673,07:10,670
Marseille,Lyon,01:40,314,02:30,180
Lyon,Marseille,01:40,314,02:30,180
Marseille,Montpellier,01:18,150,01:30,140
Montpellier,Marseille,01:18,150,01:30,140
Munich,Vienna,04:15,485,04:50,440
Vienna,Munich,04:15,485,04:50,440
Munich,Frankfurt,03:30,494,04:20,426
Frankfurt,Munich,03:30,494,04:20,426
Munich,Milan,06:10,504,04:45,450
Milan,Munich,06:10,504,04:45,450
Napoles,Rome,01:10,218,02:45,230
Rome,Napoles,01:10,218,02:45,230
Napoles,Catania,06:20,310,04:52,300
Catania,Napoles,06:20,310,04:52,300
Nice,Milan,03:40,255,03:30,250
Milan,Nice,03:40,255,03:30,250
Nice,Marseille,02:53,180,02:30,170
Marseille,Nice,02:53,180,02:30,170
Oslo,Stockholm,05:30,520,06:15,580
Stockholm,Oslo,05:30,520,06:15,580
Oslo,Bergen,07:15,519,06:45,500
Bergen,Oslo,07:15,519,06:45,500
Oslo,Copenhagen,07:45,570,08:30,600
Copenhagen,Oslo,07:45,570,08:30,600
Östersund,Stockholm,05:50,422,04:30,420
Stockholm,Östersund,05:50,422,04:30,420
Östersund,Trondheim,04:45,370,03:50,400
Trondheim,Östersund,04:45,370,03:50,400
Paris,Bordeaux,02:04,516,05:50,580
Bordeaux,Paris,02:04,516,05:50,580
Paris,Lyon,02:00,490,02:44,480
Lyon,Paris,02:00,490,02:44,480
Paris,Frankfurt,03:07,580,06:22,580
Frankfurt,Paris,03:07,580,06:22,580
Paris,Rennes,02:05,350,03:20,260
Rennes,Paris,02:05,350,03:20,260
Paris,Brussels,01:22,304,03:25,310
Brussels,Paris,01:22,304,03:25,310
Paris,London,02:15,346,05:30,460
London,Paris,02:15,346,05:30,460
Prague,Munich,05:20,407,04:40,400
Munich,Prague,05:20,407,04:40,400
Prague,Vienna,04:50,357,04:20,350
Vienna,Prague,04:50,357,04:20,350
Prague,Wroclaw,05:24,334,04:10,330
Wroclaw,Prague,05:24,334,04:10,330
Riga,Vilnius,04:20,308,03:20,300
Vilnius,Riga,04:20,308,03:20,300
Riga,Tallinn,05:50,342,04:30,330
Tallinn,Riga,05:50,342,04:30,330
Rome,Florence,01:25,276,03:45,280
Florence,Rome,01:25,276,03:45,280
Sevilla,Faro,05:10,274,03:50,300
Faro,Sevilla,05:10,274,03:50,300
Skopje,Thessaloniki,06:20,246,02:30,220
Thessaloniki,Skopje,06:20,246,02:30,220
Sofia,Bucharest,07:40,487,05:40,410
Bucharest,Sofia,07:40,487,05:40,410
Sofia,Skopje,04:50,264,03:25,250
Skopje,Sofia,04:50,264,03:25,250
Sofia,Thessaloniki,05:50,365,04:30,350
Thessaloniki,Sofia,05:50,365,04:30,350
Sofia,Istanbul,11:40,789,06:30,530
Istanbul,Sofia,11:40,789,06:30,530
Split,Zagreb,06:40,418,04:20,380
Zagreb,Split,06:40,418,04:20,380
Stockholm,Tallinn,03:30,310,05:50,390
Tallinn,Stockholm,03:30,310,05:50,390
Venice,Vienna,05:50,452,04:50,450
Vienna,Venice,05:50,452,04:50,450
Venice,Ljubljana,02:45,165,02:15,150
Ljubljana,Venice,02:45,165,02:15,150
Venice,Milan,02:20,256,02:45,270
Milan,Venice,02:20,256,02:45,270
Venice,Florence,02:30,285,03:15,270
Florence,Venice,02:30,285,03:15,270
Warsaw,Poznan,02:40,309,03:30,290
Poznan,Warsaw,02:40,309,03:30,290
Warsaw,Wroclaw,04:40,383,04:20,360
Wroclaw,Warsaw,04:40,383,04:20,360
Warsaw,Vienna,09:10,625,06:40,600
Vienna,Warsaw,09:10,625,06:40,600
Warsaw,Krakow,03:20,239,02:30,230
Krakow,Warsaw,03:20,239,02:30,230
Warsaw,Gdansk,04:50,321,04:30,330
Gdansk,Warsaw,04:50,321,04:30,330
Warsaw,Bialystok,03:20,214,02:15,200
Bialystok,Warsaw,03:20,214,02:15,200
Westport,Dublin,03:30,234,02:55,236
Dublin,Westport,03:30,234,02:55,236
